track,artist,genres,followers,popularity,year
Você Me Vira A Cabeça (Me Tira Do Sério),Alcione,"['brazilian rock', 'mpb', 'musica maranhense']",1027323,57,2001
Versos Simples - Ao Vivo,Chimarruts,"['brazilian reggae', 'brazilian rock', 'reggae tuga']",3373185,57,2007
Além do Horizonte,Jota Quest,"['axe', 'mpb', 'musica maranhense', 'pagode', 'pagode novo', 'samba']",1086264,57,2005
É Isso Aí (The Blower'S Daughter),"Ana Carolina, Seu Jorge","['brazilian reggae', 'reggae gaucho']",1065644,57,2005
Reza vela,O Rappa,"['brazilian rock', 'mpb', 'pop rock brasileiro', 'rock mineiro', 'rock nacional brasileiro']",2318696,56,2003
Meteoro - Ao Vivo,Luan Santana,"['mpb', 'musica juiz-forana']",1558724,56,2009
Último Romance,Los Hermanos,"['mpb', 'samba-rock']",1632345,56,2003
Tô nem aí,Luka,"['brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin alternative', 'rock nacional brasileiro']",3562601,55,2003
Cara valente,Maria Rita,"['arrocha', 'sertanejo', 'sertanejo universitario']",8150497,55,2003
Daqui Pra Frente,NX Zero,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock nacional brasileiro']",931240,55,2008
Na Sua Estante,Pitty,"['axe', 'pop nacional']",145157,54,2005
Desenho De Deus,Armandinho,"['bossa nova', 'mpb', 'pagode', 'samba']",781041,54,2007
Cuide Bem Do Seu Amor,Os Paralamas Do Sucesso,"['brazilian emo', 'brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro']",911925,54,2002
Coisas Que Eu Sei,Danni Carlos,"['brazilian rock', 'hard rock brasileiro', 'pop rock brasileiro', 'rock baiano']",2290856,54,2008
